conditions,brand,year,adress,price,image
Neuf,Yamaha,2024,Liberte 6 extension                                                                                 Dakar,800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8dc0dcb6d8c1e394e44829e9a868985c/-/horizon-files-prod/ed/picture/q44n7r8z/69908dcc21ae09c89a6a4da54db6eb6c02f44866.jpg
Neuf,Bajaj,2024,Sicap Liberté                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4525f88b3b091c56a8483582e00de602/-/horizon-files-prod/ed/picture/qngp29k0/b3354618c602dd44779656f8684e0b454aa51097.jpg
D,Vespa,2017,Ouakam                                                                                 Dakar,1700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fd689aaf75c12e2f192bff1770f8f4e0/-/horizon-files-prod/ed/picture/q78wprgz/6f8ddd83e674297d810cd9fac677625c8da70c1e.jpg
Venant,Yamaha,2021,Liberte 6 extension                                                                                 Dakar,1600000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a931fa8650535cd76cc63ba7e1cb8a48/-/horizon-files-prod/ed/picture/q78w952z/52666e4dddd1117d8341c51b422554f3a48a7fe3.jpg
Neuf,Autre,2024,Yoff                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ec1b27c8042b025e3e7b8e1c0583f82/-/horizon-files-prod/ed/picture/qkrgwe7z/8e6e149d26d72ffe10565084f4abc9fce64613a1.jpg
Neuf,Zhongyu,2024,Ouakam                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/26b316e118ea6c00257abc1bf4182e5d/-/horizon-files-prod/ed/picture/q6xked4z/7e4d1b365dac9205f1d8e0f84c53e58579e4d5bf.jpg
D,Yamaha,2024,Sicap Liberté                                                                                 Dakar,250000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1cdda562db4093f9229623108b1c6c3f/-/horizon-files-prod/ed/picture/qj4q2me6/3050826df1060da4dc76d9ffea9d82421fa775b5.jpg
Venant,Yamaha,2015,Parcelles Assainies                                                                                 Dakar,750000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a169ec1eabe10dc826d79836c08a31d2/-/horizon-files-prod/ed/picture/qenv2dxx/b57de749b56cbfa8fb8204e6a14c6afbe332f32c.jpg
Venant,Yamaha,2015,Parcelles Assainies                                                                                 Dakar,750000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39c1a4546cc13054f1dd29a462cee81c/-/horizon-files-prod/ed/picture/q56dvwgr/6b63515f7f239d0a51723d8d61ae282aa993bd4b.jpg
Venant,Piaggio,2008,Hann maristes                                                                                 Dakar,650000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f580c99ed33b9d1ab9ae3ea0ff67529a/-/horizon-files-prod/ed/picture/q8v4gqrr/3262e77eeab01e28f669712f8da1c5916d0bc61f.jpg
