conditions,brand,year,gearbox,adress,price,image
D'occasion,Mazda,2017,Automatique,Cambérène                                                                                 Dakar,40000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/34e0886be907b7d0008c453c919af195/-/horizon-files-prod/ed/picture/qv4e8vpg/fabbd4164b88b07528884310bcca959e620f3f41.jpg
D'occasion,Mazda,2014,Automatique,Cambérène                                                                                 Dakar,35000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e25253e2f964baa3c519a892caf1e052/-/horizon-files-prod/ed/picture/q2j0zzpp/0a9e25bc7eccaead957500917fd3daa0b1073dde.jpg
Venant,Citroen,2016,Manuelle,Sacré-cœur                                                                                 Dakar,5900000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b6895e728d00292993fbe71033051655/-/horizon-files-prod/ed/picture/q2j0ng7e/33f38d7dcdd213045c9a4d7345adbde7683123ff.jpg
D'occasion,Peugeot,2014,Manuelle,Sacré-cœur                                                                                 Dakar,5300000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdf360f578acbc6391740806c21ec75e/-/horizon-files-prod/ed/picture/qrz847n4/6cab714d1a3089b79b584950773701d3df237fa2.jpg
D'occasion,Chevrolet,2015,Automatique,Guediawaye                                                                                 Dakar,6200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2e9eee54318f6de698a1d22f4d773997/-/horizon-files-prod/ed/picture/q9mjwmzp/00f6f1a4bd0dcbdab388f7162676661a54a99b82.jpg
Venant,Jeep,2021,Automatique,Point-e                                                                                 Dakar,42000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac9a9b78494c4ab61974a829f31d1893/-/horizon-files-prod/ed/picture/q2j0ge22/492e7635d6ca5b2184f2eafd3f29c5c1434e1a8a.jpg
Venant,Peugeot,2016,Manuelle,Sacré-cœur                                                                                 Dakar,6800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f19c817921ec8c44925586212831944d/-/horizon-files-prod/ed/picture/qq428696/6ecfd24b07b2813fd0d995f8a2d7ead0868eaf94.jpg
Venant,Citroen,2016,Manuelle,Sacré-cœur                                                                                 Dakar,6500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dcf5bdf8636f7088de27f24fec9174d9/-/horizon-files-prod/ed/picture/qzvp5xzv/eca8985722c8f111397e644e2e9a989f8b71b958.jpg
Venant,B,M,W,Almadies                                                                                 Dakar,11000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0806f6de9c8c8abc87a601a2474b307a/-/horizon-files-prod/ed/picture/qrzve0v8/bcc4f1130491ea8fb80361369b651b8cce10afce.jpg
D'occasion,Ford,2013,Automatique,Sicap Liberté                                                                                 Dakar,4400 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bca4e04b04470dc36f105c28288f6a3a/-/horizon-files-prod/ed/picture/q78wrgwd/0d4b344840e68483137ed741bd3ff2ebcbe63686.jpg
Venant,Dodge,2018,Automatique,Ouest foire                                                                                 Dakar,7500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2d03ca348fca83fee21e851f6a514230/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qxjpwx8n/cb41cd6aa307c8c4522c936a07ae1898c1c90fa5.jpg
Venant,Chevrolet,2016,Automatique,Liberte 6                                                                                 Dakar,6850000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/471a755ef3b58359ad89eb2666f6ce31/-/horizon-files-prod/ed/picture/q0gwqjdj/6252ae5cd57e53a3c1245209a74bcca025f047ed.jpg
D'occasion,Toyota,2012,Automatique,Médina                                                                                 Dakar,17500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3aad2361563ddf5893c199c13f4068f8/-/horizon-files-prod/ed/picture/q8v4dq47/cb01b4bd66f834c65a7f31f1c1f630d9025cdbff.jpg
D'occasion,Ford,2011,Automatique,Yoff                                                                                 Dakar,1799000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c072c323771b674660a7d876a4808d5a/-/horizon-files-prod/ed/picture/q2j05enp/8852dcbed50cd3c50f5226185f24b696ecf39fe0.jpg
D'occasion,Cadillac,2013,Automatique,Yoff                                                                                 Dakar,2350000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ee16abc156523896e8ae1d2b1283b3c1/-/horizon-files-prod/ed/picture/qm5gd0nr/1e120403ce4e341ddd19a5dd0ca243aaf9c69d39.jpg
D'occasion,Ford,2011,Automatique,Yoff                                                                                 Dakar,1999000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d3cb1b1905db6a562dd1033d92aff4cf/-/horizon-files-prod/ed/picture/qv4w54mk/7c1c83a7cb1a8aa83293baefe9ab1eb429ce1999.jpg
D'occasion,Chevrolet,2015,Automatique,Guediawaye                                                                                 Dakar,6200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2e9eee54318f6de698a1d22f4d773997/-/horizon-files-prod/ed/picture/q9mjwmzp/00f6f1a4bd0dcbdab388f7162676661a54a99b82.jpg
Venant,Jeep,2021,Automatique,Point-e                                                                                 Dakar,42000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac9a9b78494c4ab61974a829f31d1893/-/horizon-files-prod/ed/picture/q2j0ge22/492e7635d6ca5b2184f2eafd3f29c5c1434e1a8a.jpg
D'occasion,Cadillac,2013,Automatique,Yoff                                                                                 Dakar,2350000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a39594457b80d16c533f9e725672c7c7/-/horizon-files-prod/ed/picture/qv4wxdzv/4396c8f8ad010ef17613017795009b832c3f5862.jpg
Venant,Mazda,2017,Automatique,Parcelles Assainies                                                                                 Dakar,10500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/42c4c76a0f11496c6e6b92a1903bcf5b/-/horizon-files-prod/ed/picture/qde7e65g/c2358532f6855264148c6cdf8a828a9b7bdcbdee.jpg
D'occasion,Mitsubishi,2017,Automatique,Djily mbaye                                                                                 Dakar,8300000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/81bb4274285c7c071ba180e91c3cd4bf/-/horizon-files-prod/ed/picture/qj4q762z/4d19595e7ca4468f9302020d244fc6806d90c759.jpg
D'occasion,Hyundai,2016,Automatique,Djily mbaye                                                                                 Dakar,5950000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/57633532460798b251f04c1a57e90545/-/horizon-files-prod/ed/picture/q2j0dp0q/4e02cd1ac51487346f9c8e91b505d84989f46421.jpg
Venant,Renault,2017,Automatique,Cité Damel                                                                                 Dakar,12500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/67299161e8316973b327be822c8490fe/-/horizon-files-prod/ed/picture/qwep5wmg/53d787a33e62a9f45ee794a2a36d7107af2224ff.jpg
Venant,Renault,2016,Automatique,Cité Damel                                                                                 Dakar,8500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c5fc2cbe72cfea0e0f5a0b6748d08d91/-/horizon-files-prod/ed/picture/qm5g9j89/62187799d3bfb932da146cba8a3ec7d246415295.jpg
Venant,Ford,2017,Automatique,Mbao                                                                                 Dakar,11500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/845175ff8b263b4dbb2250439170b8f0/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/q2j0828j/acb2fbf07723bba4219d4b1d754a9c9a7499737c.jpg
D'occasion,Ford,2013,Automatique,Ouest foire                                                                                 Dakar,4500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/966a8e96626d886e64ba282547d85896/-/horizon-files-prod/ed/picture/qxjpek5z/44e51b6cf33e6437027ebf4eb0c16f182b3646f9.jpg
Venant,Kia,2017,Automatique,Cité keur gorgui                                                                                 Dakar,9900000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/652af8bb9a36da9061804b5de457858a/-/horizon-files-prod/ed/picture/q8v4dx69/ef6ba184dd597d58eb284ddecb777ff08f9b3ed6.jpg
