condition,description,address,price,image
VenantFord2014Automatique,Ford fusion 2014,Keur Massar                                                                                 Dakar,6000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/652d67345592642d9498f4fd39f7147b/-/horizon-files-prod/ed/picture/qrz8j58j/fcbb4616c391e140221f156662839e6bf803fae7.jpg
VenantPeugeot2017,Peugeot Expert 2017,Keur Massar                                                                                 Dakar,11000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e301d2c2b14a618fac8ed7aae04d53ab/-/horizon-files-prod/ed/picture/qenvxxed/1a6da8ceb2f2e444668158df76b9d64011e0fbec.jpg
D'occasionFord2009Manuelle,Ford Escape,Keur Massar                                                                                 Dakar,2800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2704d6fe0fc8dcca6deb66874eba4500/-/horizon-files-prod/ed/picture/q0g7026j/d46a19d44b360a06aad4f44881139028df45a958.jpg
D'occasionFord2012Automatique,Ford Escape coupe carre 2012 V6,Sicap foire                                                                                 Dakar,3500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2dcff2acb6dca83fde2abc20cbc5e498/-/horizon-files-prod/ed/picture/qrz8v06g/b12763130a379430445c8255d7c6e1c553b586d0.jpg
VenantMazda2018Automatique,Mazda Cx5 2018 full options,Ouest foire                                                                                 Dakar,12900000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5c4abd9ecafaad4f7bb1afeeb85c10b8/-/horizon-files-prod/ed/picture/q78wr7nj/b4837994a878eb735fb7a714ef0b005d761e795b.jpg
NeufKia2017Automatique,Kia Optima 2017 venant,Sicap foire                                                                                 Dakar,6300000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5ee52e2718b6bc74d30149ed7629047c/-/horizon-files-prod/ed/picture/qv4w5emg/8c4c28e1bc1ab6662b33cbb712e1b3fef3d72087.jpg
NeufJeep2016Automatique,Jeep cherokee 4x4 2016 venant,Sicap foire                                                                                 Dakar,7800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/01ecd492d3dfd07a26ad52a8a8d540c5/-/horizon-files-prod/ed/picture/qngpnx5w/1430faf310bb6f07444e7a33c3a4febcb3bc2582.jpg
VenantMazda2016Automatique,Mazda Cx5 2016,Ouest foire                                                                                 Dakar,8700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e8ea7038738e1852749510dc9224dafc/-/horizon-files-prod/ed/picture/qwep52mj/f2948bcdc284af3bc4d15f2b9b1b65b418d7f45e.jpg
NeufFord2014Automatique,Ford escape titanium,Mermoz                                                                                 Dakar,4450000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/95083281f6c624fb08f00a9dea69d9d6/-/horizon-files-prod/ed/picture/q8v4x50x/52974379f3f81529080aa7f19ae7eeb8b0cbe8db.jpg
VenantCitroen2016Manuelle,Citroën C4 cactus,Sicap foire                                                                                 Dakar,6400000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ee0451d505234f24b387830b6a1f4518/-/horizon-files-prod/ed/picture/qrz84qdm/fe701065aeea648eda9dc08c0f1ce99755abd284.jpg
D'occasionToyota2013Automatique,Toyota Prado VX,VDN                                                                                 Dakar,13000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3fc1c15e702473193d70bc2823bfbd43/-/horizon-files-prod/ed/picture/qkrgw84m/cf42d35d086cf19c0d3a31100fb11b9dc95c560d.jpg
NeufAudi2017Automatique,Audi Q7 7 places,Avenue Bourguiba                                                                                 Dakar,15000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b5f763def4a2622f2d650fb4da9f4e70/-/horizon-files-prod/ed/picture/q6xd460d/89763159b9e2364994df61523557f5588ba0a03a.jpg
VenantRange Rover2016Automatique,Ranger rover sport 2016,Sicap Sacré-cœur                                                                                 Dakar,25000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/41a55de8d77af9375a5f403ae2e4346f/-/horizon-files-prod/ed/picture/q0g702e8/d01fdb81a91d9cba96248c84434c04f852511693.jpg
D'occasionKia2015Automatique,Kia forte 2015 panne moteur,Hlm grand-yoff                                                                                 Dakar,2200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1e2b755503b3d92ec909c41f6b0bd8ca/-/horizon-files-prod/ed/picture/qngp2gxm/9c5a7c4caeb565663939b7f759a5063c66fe9063.jpg
D'occasionJeep2013,Jeep grand Cherokee srt 2020 tunned,Hlm grand-yoff                                                                                 Dakar,6000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6c23916771e5f144fd2f4c79e39ec594/-/horizon-files-prod/ed/picture/q6xdn0vj/a1c3e80543b337c557f4b547314ff8ce88809259.jpg
D'occasionBMW2014Automatique,BMW 328i 2014,Sacré-cœur                                                                                 Dakar,5500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b3761ea5496f608e753fd7c3b199fcb8/-/horizon-files-prod/ed/picture/qxjpe6v2/8012c351a0fcdeb2f25f8ef241d100b79c0a591b.jpg
D'occasionVolkswagen2012Manuelle,VolKswagen passat 2012,Ouest foire                                                                                 Dakar,2700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1ea58a0f1a38b8313bf18b276ab21241/-/horizon-files-prod/ed/picture/q2j0nr6g/31c5d483dce8f614ddbb04995363063ce431e446.jpg
D'occasionFord2014Automatique,Ford explorer 2014 7 places,VDN                                                                                 Dakar,6900000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1328273236ad02d22c0ae7685bb98894/-/horizon-files-prod/ed/picture/qv4wqxd5/efb96b460086e9d0a1c365a89b5ff7c4faba2b3e.jpg
VenantHyundai2017Automatique,Hyundai tucson,VDN                                                                                 Dakar,11900000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/03e6091dcf74293fc67cea3011ff7f8c/-/horizon-files-prod/ed/picture/qm5pxeez/713a424ee061ad39085651b082f04c20c4066861.jpg
VenantMazda2016Automatique,MAZDA CX5 GT 2016,Sicap Sacré-cœur                                                                                 Dakar,9500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e5cfc72b76f2d3ad9a62e59b2f5be0d2/-/horizon-files-prod/ed/picture/qzvp540q/db5d99d45cc9ce697401a78c30bd72e1213f506b.jpg
