condition,brand,year,gearbox,adress,price,image-src
Venant,Mitsubishi,2017.0,Automatique,Sacré-cœur,9 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2ca45ef97aa6fbb5e70767217f345994/-/horizon-files-prod/ed/picture/qzvdmwx8/52307ba60fea623539865fc3616dd6fff08949e9.jpg
Venant,Range Rover,2016.0,Automatique,Sicap foire,14 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a9245285c0140a42b781a63192e25053/-/horizon-files-prod/ed/picture/qxj244pv/1dcb3a0b4423226c24f63134c68efd255d0c3c98.jpg
Neuf,Ford,2017.0,Automatique,Sacré-cœur,14 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4f4bea4eef9a09c412c8b0058ee61fa2/-/horizon-files-prod/ed/picture/q0gw8ewk/b2e114ccde3c3b0d27e102ebe0929ad927646d4d.jpg
Venant,Citroen,2018.0,Manuelle,Plateau,6 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/169e434e4e72eacae9ea9ccf015d7eaf/-/horizon-files-prod/ed/picture/qrz82rkm/d892502be3129a450073fa2908b616739081c44e.jpg
D'occasion,Peugeot,2018.0,Automatique,Point-e,6 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/553ef5dde17530a46c1fc73c6bb965c2/-/horizon-files-prod/ed/picture/qrz82nmj/16be28149f4f8b9db680dcc1f8199f897f071e2f.jpg
D'occasion,Mitsubishi,2017.0,Automatique,Liberte 6,16 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3a3142474e55dd46209665d4610d1c00/-/horizon-files-prod/ed/picture/qzvp6qxq/944f5816c2ab265f4df64442d1decc4b6bde5baa.jpg
D'occasion,Mitsubishi,2018.0,Automatique,Hann Bel-Air,16 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d77903ea063e4ef3ba51977d6ffa9a36/-/horizon-files-prod/ed/picture/qkr8mxq2/9bae0dcccd683eb12e78d96cda7562e862408645.png
Venant,Mitsubishi,2017.0,Automatique,Hlm grand-yoff,7 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c13f50c9f0f4dbffd6b0d9a9bbb3b411/-/horizon-files-prod/ed/picture/qrzve8wx/dbf85dbea5316e3e2c0e71179b6c96c57a559d79.jpg
Neuf,Mazda,2017.0,Automatique,Almadies,11 250 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f6eb9b6310145d05e6ebb73d5972743/-/horizon-files-prod/ed/picture/qxjpdm2v/a7e38c6001c59f5dac96e9126ced5b2dd522a04f.jpg
Venant,BMW,2018.0,Manuelle,Point-e,9 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/85cb74885676aacec127363696b7ecd4/-/horizon-files-prod/ed/picture/qngp55qm/e94507778a1b73b3c1c65e6dd35356df006c2377.jpg
Venant,Jeep,2017.0,Automatique,Sacré-cœur,12 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/660235c9c72aea7929693d08902f9a06/-/horizon-files-prod/ed/picture/q6xk8pvn/3d6331ff35f17903d37cd813fd2430f15424f05b.jpg
Venant,Mitsubishi,2016.0,Automatique,Nord foire,7 850 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ea42275092115dfc49507e9bc9cc4a8f/-/horizon-files-prod/ed/picture/qv4wmjvj/ff676751ecafeaff135e4ca1fcdf95abb0bc8aa5.jpg
D'occasion,Ford,2016.0,Automatique,Almadies,5 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a19724eccdd79cec832521b08ec63c22/-/horizon-files-prod/ed/picture/qgqw56ve/a9cc33a5d569138ef2d8bddbf45a31807fa3b38a.jpg
